H0050007, NAME, state
238, Alabama, 01
362, Alaska, 02
538, Arizona, 04
345, Arkansas, 05
2100, California, 06
524, Colorado, 08
55, Connecticut, 09
43, Delaware, 10
8, District of Columbia, 11
1541, Florida, 12
854, Georgia, 13
117, Hawaii, 15
632, Idaho, 16
315, Illinois, 17
200, Indiana, 18
87, Iowa, 19
129, Kansas, 20
627, Kentucky, 21
999, Louisiana, 22
160, Maine, 23
177, Maryland, 24
161, Massachusetts, 25
1773, Michigan, 26
334, Minnesota, 27
318, Mississippi, 28
193, Missouri, 29
283, Montana, 30
60, Nebraska, 31
242, Nevada, 32
27, New Hampshire, 33
156, New Jersey, 34
229, New Mexico, 35
892, New York, 36
1620, North Carolina, 37
319, North Dakota, 38
346, Ohio, 39
318, Oklahoma, 40
461, Oregon, 41
411, Pennsylvania, 42
12, Rhode Island, 44
370, South Carolina, 45
88, South Dakota, 46
392, Tennessee, 47
2209, Texas, 48
232, Utah, 49
39, Vermont, 50
608, Virginia, 51
1328, Washington, 53
118, West Virginia, 54
249, Wisconsin, 55
322, Wyoming, 56
99, Puerto Rico, 72
